Generation,Makespan,Robustness
0,50,36.58617932849579
1,50,36.58617932849579
2,50,36.58617932849579
3,50,36.58617932849579
4,50,36.58617932849579
5,50,36.58617932849579
6,50,36.58617932849579
7,50,36.58617932849579
8,50,36.58617932849579
9,50,36.58617932849579
10,50,36.58617932849579
11,50,38.42766421048758
12,50,38.42766421048758
13,50,38.42766421048758
14,50,38.42766421048758
15,50,38.42766421048758
16,50,38.42766421048758
17,50,38.42766421048758
18,50,38.42766421048758
19,50,38.42766421048758
20,50,38.42766421048758
21,50,38.42766421048758
22,50,38.42766421048758
23,50,38.42766421048758
24,50,38.42766421048758
25,50,38.42766421048758
26,50,38.42766421048758
27,50,38.42766421048758
28,50,38.42766421048758
29,50,38.42766421048758
30,50,38.42766421048758
31,50,38.42766421048758
32,50,38.42766421048758
33,50,38.42766421048758
34,50,38.42766421048758
35,50,38.42766421048758
36,50,38.42766421048758
37,50,38.42766421048758
38,50,38.42766421048758
39,50,38.42766421048758
40,50,38.42766421048758
41,50,38.42766421048758
42,50,38.42766421048758
43,50,38.42766421048758
44,50,38.42766421048758
45,50,38.42766421048758
46,50,38.42766421048758
47,50,40.047598361603505
48,50,40.047598361603505
49,50,40.047598361603505
50,50,40.047598361603505
51,50,41.03452617987266
52,50,41.03452617987266
53,50,41.03452617987266
54,50,44.414402053017284
55,50,44.414402053017284
56,50,44.414402053017284
57,50,44.414402053017284
58,50,44.414402053017284
59,50,44.414402053017284
60,50,44.414402053017284
61,50,44.414402053017284
62,50,44.414402053017284
63,50,44.414402053017284
64,50,44.414402053017284
65,50,44.414402053017284
66,50,44.414402053017284
67,50,44.414402053017284
68,50,44.414402053017284
69,50,44.414402053017284
70,50,44.414402053017284
71,50,44.414402053017284
72,50,44.414402053017284
73,50,44.414402053017284
74,50,44.414402053017284
75,50,44.414402053017284
76,50,44.414402053017284
77,49,44.414402053017284
78,49,44.414402053017284
79,49,44.414402053017284
80,49,44.414402053017284
81,49,44.414402053017284
82,49,44.414402053017284
83,49,44.414402053017284
84,49,44.414402053017284
85,49,44.414402053017284
86,49,44.414402053017284
87,49,44.414402053017284
88,49,44.414402053017284
89,49,44.414402053017284
90,49,44.414402053017284
91,49,44.414402053017284
92,49,44.414402053017284
93,49,44.414402053017284
94,49,44.414402053017284
95,49,44.414402053017284
96,49,44.414402053017284
97,49,44.414402053017284
98,49,44.414402053017284
99,49,44.414402053017284
