Generation,Makespan,Robustness
0,142,61.282246674989096
1,141,61.282246674989096
2,141,61.282246674989096
3,141,61.282246674989096
4,140,61.282246674989096
5,140,61.282246674989096
6,140,62.706874111302994
7,140,62.706874111302994
8,140,62.80433608952429
9,137,62.80433608952429
10,137,62.80433608952429
11,137,62.80433608952429
12,137,62.80433608952429
13,137,62.80433608952429
14,137,62.80433608952429
15,137,62.80433608952429
16,137,64.62565066248663
17,137,64.62565066248663
18,137,64.62565066248663
19,137,64.62565066248663
20,137,66.49568298303298
21,137,66.49568298303298
22,137,66.49568298303298
23,137,66.49568298303298
24,137,66.49568298303298
25,137,66.49568298303298
26,137,66.49568298303298
27,137,67.93635370594988
28,137,67.93635370594988
29,137,67.93635370594988
30,137,67.93635370594988
31,137,67.93635370594988
32,137,67.93635370594988
33,137,67.93635370594988
34,137,67.93635370594988
35,137,67.93635370594988
36,137,67.93635370594988
37,137,67.93635370594988
38,134,69.1995531179514
39,134,69.43587404527418
40,134,70.32096425733026
41,134,70.32096425733026
42,134,70.32096425733026
43,134,71.83443985901326
44,134,71.83443985901326
45,134,71.83443985901326
46,134,71.83443985901326
47,134,71.83443985901326
48,134,71.83443985901326
49,134,71.83443985901326
50,134,71.83443985901326
51,134,71.83443985901326
52,134,71.83443985901326
53,134,71.83443985901326
54,134,71.83443985901326
55,134,71.83443985901326
56,134,71.83443985901326
57,134,71.83443985901326
58,134,71.83443985901326
59,134,71.83443985901326
60,134,71.83443985901326
61,134,71.83443985901326
62,134,71.83443985901326
63,134,71.83443985901326
64,134,71.83443985901326
65,134,71.83443985901326
66,134,71.83443985901326
67,134,71.83443985901326
68,134,71.83443985901326
69,134,71.83443985901326
70,134,71.83443985901326
71,134,71.83443985901326
72,134,71.83443985901326
73,134,71.83443985901326
74,134,71.83443985901326
75,134,71.83443985901326
76,134,71.83443985901326
77,134,71.83443985901326
78,134,71.83443985901326
79,134,71.83443985901326
80,134,71.83443985901326
81,134,71.83443985901326
82,134,71.83443985901326
83,134,71.83443985901326
84,134,71.83443985901326
85,134,71.83443985901326
86,134,71.83443985901326
87,134,71.83443985901326
88,134,71.83443985901326
89,134,71.83443985901326
90,134,71.83443985901326
91,134,71.83443985901326
92,134,71.83443985901326
93,134,71.83443985901326
94,134,71.83443985901326
95,134,71.83443985901326
96,134,71.83443985901326
97,134,71.83443985901326
98,134,71.83443985901326
99,134,71.83443985901326
