Generation,Makespan,Robustness
0,109,66.42760037728165
1,107,70.06689883934413
2,107,72.07780773944047
3,105,72.07780773944047
4,105,72.07780773944047
5,105,72.07780773944047
6,104,72.07780773944047
7,104,72.07780773944047
8,104,76.92906632615711
9,104,76.92906632615711
10,104,76.92906632615711
11,104,76.92906632615711
12,103,76.92906632615711
13,102,76.92906632615711
14,102,76.92906632615711
15,102,76.92906632615711
16,102,76.92906632615711
17,102,76.92906632615711
18,102,76.92906632615711
19,102,76.92906632615711
20,100,76.92906632615711
21,99,76.92906632615711
22,99,76.92906632615711
23,99,76.92906632615711
24,99,76.92906632615711
25,99,76.92906632615711
26,99,76.92906632615711
27,99,76.92906632615711
28,99,76.92906632615711
29,99,76.92906632615711
30,99,81.89967236819317
31,99,81.89967236819317
32,99,81.89967236819317
33,99,81.89967236819317
34,99,81.89967236819317
35,99,81.89967236819317
36,99,81.89967236819317
37,99,81.89967236819317
38,99,81.89967236819317
39,99,81.89967236819317
40,99,81.89967236819317
41,99,81.89967236819317
42,99,81.89967236819317
43,99,81.89967236819317
44,99,81.89967236819317
45,99,81.89967236819317
46,99,81.89967236819317
47,99,81.89967236819317
48,99,81.89967236819317
49,99,81.89967236819317
50,99,81.89967236819317
51,97,81.89967236819317
52,97,81.89967236819317
53,97,81.89967236819317
54,97,81.89967236819317
55,97,81.89967236819317
56,97,81.89967236819317
57,97,81.89967236819317
58,97,81.89967236819317
59,97,81.89967236819317
60,97,87.50105853320603
61,97,87.50105853320603
62,97,87.50105853320603
63,97,87.50105853320603
64,97,87.50105853320603
65,97,87.50105853320603
66,97,87.50105853320603
67,97,87.50105853320603
68,97,87.50105853320603
69,97,87.50105853320603
70,97,87.50105853320603
71,97,87.50105853320603
72,97,87.50105853320603
73,97,87.50105853320603
74,97,87.50105853320603
75,97,87.50105853320603
76,97,87.50105853320603
77,97,87.50105853320603
78,97,87.50105853320603
79,97,87.50105853320603
80,97,87.50105853320603
81,97,87.50105853320603
82,97,87.50105853320603
83,97,87.50105853320603
84,97,87.50105853320603
85,97,87.50105853320603
86,97,87.50105853320603
87,97,87.50105853320603
88,97,87.50105853320603
89,97,87.50105853320603
90,97,87.50105853320603
91,97,87.50105853320603
92,97,87.50105853320603
93,97,87.50105853320603
94,97,87.50105853320603
95,97,87.50105853320603
96,97,87.50105853320603
97,97,87.50105853320603
98,97,87.50105853320603
99,97,87.50105853320603
