Generation,Makespan,Robustness
0,153,132.06777537355512
1,147,145.38576150537187
2,147,145.38576150537187
3,147,145.38576150537187
4,147,147.6355576252174
5,147,147.6355576252174
6,147,147.6355576252174
7,145,147.6355576252174
8,145,147.88970924637763
9,144,147.88970924637763
10,144,147.88970924637763
11,144,151.6609018366588
12,144,152.3535959634714
13,143,152.3535959634714
14,142,152.3535959634714
15,142,153.24141509088574
16,142,153.24141509088574
17,142,153.24141509088574
18,142,153.24141509088574
19,142,153.24141509088574
20,142,153.24141509088574
21,142,153.24141509088574
22,142,153.24141509088574
23,142,153.24141509088574
24,142,153.24141509088574
25,142,153.24141509088574
26,142,154.62977665080325
27,140,154.62977665080325
28,140,155.5257514527223
29,140,155.5257514527223
30,140,155.5257514527223
31,140,155.5257514527223
32,140,155.5257514527223
33,140,155.5257514527223
34,140,155.5257514527223
35,140,155.5257514527223
36,140,155.5257514527223
37,140,157.48420003455024
38,140,157.48420003455024
39,140,157.48420003455024
40,140,157.48420003455024
41,140,157.48420003455024
42,140,157.48420003455024
43,140,157.48420003455024
44,139,157.48420003455024
45,139,157.48420003455024
46,139,157.48420003455024
47,139,157.48420003455024
48,139,157.48420003455024
49,139,157.48420003455024
50,139,157.48420003455024
51,139,157.48420003455024
52,139,157.48420003455024
53,139,157.48420003455024
54,139,160.74926549797647
55,139,160.74926549797647
56,139,160.74926549797647
57,139,160.74926549797647
58,139,160.74926549797647
59,139,160.74926549797647
60,139,160.74926549797647
61,139,160.74926549797647
62,139,160.74926549797647
63,139,160.74926549797647
64,139,160.74926549797647
65,139,160.74926549797647
66,139,160.74926549797647
67,139,160.75130388095064
68,139,160.75130388095064
69,139,160.75130388095064
70,139,160.75130388095064
71,139,160.75130388095064
72,139,160.75130388095064
73,139,160.75130388095064
74,139,160.75130388095064
75,139,160.75130388095064
76,139,160.75130388095064
77,139,160.75130388095064
78,139,160.75130388095064
79,139,160.75130388095064
80,139,160.75130388095064
81,139,160.75130388095064
82,139,160.75130388095064
83,139,160.75130388095064
84,139,160.75130388095064
85,139,160.75130388095064
86,139,160.75130388095064
87,139,162.01341866336418
88,139,162.01341866336418
89,139,162.01341866336418
90,139,162.62875037869554
91,139,162.62875037869554
92,139,162.62875037869554
93,139,162.62875037869554
94,139,162.62875037869554
95,139,162.62875037869554
96,139,162.62875037869554
97,139,162.62875037869554
98,139,162.62875037869554
99,139,162.62875037869554
